Site,Brand,Model,Edition,Year of Manufacture,Transmission,Fuel Type,Body Type,Engine Capacity (cc),Mileage (km),Price (Rs.),Negotiable
ikman.lk,Honda,Vezel,Z Grade,2015,Automatic,Hybrid,Crossover,1490,"151,000.00","Rs. 10,750,000.00",Yes
ikman.lk,Audi,Q2,,2019,Automatic,Petrol,Crossover,1000,"93,000.00","Rs. 15,250,000.00",No
ikman.lk,Honda,Grace,EX,2017,Automatic,Hybrid,Saloon,1500,"76,000.00","Rs. 11,475,000.00",Yes
ikman.lk,Toyota,Raize,Z,2024,Automatic,Hybrid,Crossover,1200,0.00,"Rs. 16,500,000.00",Yes
ikman.lk,Subaru,XV,,2013,Automatic,Hybrid,Crossover,2000,"63,000.00","Rs. 9,750,000.00",Yes
ikman.lk,Toyota,Pixis,Epoch,2018,Automatic,Petrol,Hatchback,660,"43,000.00","Rs. 6,290,000.00",No
ikman.lk,Mercedes Benz,CLA 180,AMG Premium Plus,2018,Automatic,Petrol,Saloon,1600,"47,000.00","Rs. 20,790,000.00",Yes
ikman.lk,Kia,Rio,,2015,Automatic,Petrol,Saloon,1400,"44,000.00","Rs. 7,500,000.00",Yes
ikman.lk,BMW ,X5,,2016,Automatic,Petrol,Crossover,2000,"75,000.00","Rs. 28,950,000.00",Yes
ikman.lk,BMW ,520d,3 Option,2015,Automatic,Diesel,Saloon,1995,"60,000.00","Rs. 29,450,000.00",Yes
ikman.lk,BMW ,740e,,2017,Triptonic,Petrol,Saloon,2000,"60,000.00","Rs. 49,500,000.00",No
ikman.lk,Volkswagen,Passat,TSI,2008,Automatic,Petrol,Saloon,1390,"73,000.00","Rs. 8,690,000.00",Yes
ikman.lk,Honda,Vezel,,2018,Triptonic,Hybrid,Crossover,1500,"64,000.00","Rs. 14,300,000.00",Yes
ikman.lk,Toyota,Land Cruiser Prado,TRJ250,2025,Automatic,Petrol,SUV,2700,0.00,"Rs. 59,500,000.00",No
ikman.lk,Honda,Vezel,,2014,Automatic,Hybrid,Crossover,1490,"96,000.00","Rs. 11,000,000.00",Yes
ikman.lk,Land Rover,Range Rover Evoque,,2013,Automatic,Diesel,SUV,2200,"111,000.00","Rs. 19,500,000.00",Yes
ikman.lk,Suzuki,Swift,RS Turbo,2017,Automatic,Petrol,Hatchback,1000,"85,000.00","Rs. 8,790,000.00",Yes
ikman.lk,Micro,Rexton,,2016,Automatic,Diesel,SUV,2500,"84,000.00","Rs. 13,500,000.00",Yes
ikman.lk,Suzuki,A-Star,,2012,Automatic,Petrol,Hatchback,1000,"173,000.00","Rs. 4,330,000.00",Yes
ikman.lk,Honda,CRV,,2018,Automatic,Petrol,SUV,1500,"150,000.00","Rs. 18,800,000.00",Yes
ikman.lk,Toyota,Raize,Z Grade,2023,Automatic,Hybrid,Crossover,1200,"1,000.00","Rs. 15,600,000.00",No
ikman.lk,MG ,ZS,,2019,Automatic,Petrol,Crossover,1000,"87,100.00","Rs. 10,595,000.00",Yes
ikman.lk,Mercedes Benz,CLA 200,AMG Line,2019,Automatic,Petrol,Saloon,1300,"42,000.00","Rs. 27,400,000.00",Yes
ikman.lk,Toyota ,Land Cruiser Sahara,LC 300 Facelift,2008,Triptonic,Petrol,SUV,4200,"124,000.00","Rs. 43,000,000.00",Yes
ikman.lk,Honda,Civic,FK7,2017,Automatic,Petrol,Saloon,1500,"110,000.00","Rs. 13,700,000.00",No
ikman.lk,Nissan ,X-Trail,,2015,Automatic,Petrol,Crossover,1990,"182,000.00","Rs. 11,800,000.00",No
ikman.lk,Nissan ,Dayz,Highway Star X,2023,Automatic,Petrol,Hatchback,660,"3,000.00","Rs. 8,600,000.00",No
ikman.lk,Kia,Sorento,,2012,Automatic,Diesel,SUV,2190,"142,000.00","Rs. 14,350,000.00",Yes
ikman.lk,Hyundai,Accent,Jet Black,2005,Manual,Petrol,Saloon,1500,"168,000.00","Rs. 2,590,000.00",Yes
ikman.lk,Toyota ,Vitz,,2016,Automatic,Petrol,Hatchback,1000,"73,000.00","Rs. 7,875,000.00",No
ikman.lk,Toyota,Starlet,,1998,Manual,Petrol,Hatchback,1000,"150,000.00","Rs. 1,300,000.00",No
ikman.lk,Ford,Mustang,EcoBoost Fastback,2025,Automatic,Petrol,Coupe,2300,0.00,"Rs. 53,900,000.00",No
ikman.lk,Suzuki,Wagon R ,Stingray,2024,Automatic,Hybrid,Hatchback,660,10.00,"Rs. 8,700,000.00",Yes
ikman.lk,Honda,Vezel,Z Grade,2016,Triptonic,Hybrid,Crossover,1500,"211,713.00","Rs. 11,500,000.00",Yes
ikman.lk,Toyota ,Yaris,X Grade,2023,Automatic,Petrol,Hatchback,1000,"14,000.00","Rs. 10,700,000.00",Yes
ikman.lk,Mercedes Benz,E200 ,Cabriolet,2018,Triptonic,Petrol,Convertible ,2000,"12,500.00","Rs. 42,500,000.00",Yes
ikman.lk,Toyota,Premio ,G Superior,2019,Automatic,Petrol,Saloon,1490,"57,000.00","Rs. 19,000,000.00",Yes
ikman.lk,Lexus,LX600,Max Loaded,2024,Automatic,Petrol,SUV,3500,460.00,"Rs. 145,000,000.00",Yes
ikman.lk,Toyota ,Corolla ,DX Wagon,1984,Manual,Petrol,Station Wagon,1300,"100,000.00","Rs. 865,000.00",Yes
ikman.lk,Toyota,Axio,X Grade,2014,Automatic,Petrol,Saloon,1500,"140,000.00","Rs. 7,995,000.00",No
ikman.lk,Tesla,Model 3,Special Spec,2024,Automatic,Electric,Saloon,,0.00,"Rs. 34,500,000.00",No
ikman.lk,Chery ,Tiggo,,2014,Automatic,Petrol,Crossover,1600,"61,500.00","Rs. 7,450,000.00",Yes
ikman.lk,Tesla,Model 3,,2024,Automatic,Electric,Saloon,,0.00,"Rs. 34,500,000.00",No
ikman.lk,Mazda,3,,2016,Automatic,Petrol,Saloon,1600,"107,000.00","Rs. 15,000,000.00",Yes
ikman.lk,Honda ,Grace,,2016,Automatic,Hybrid,Saloon,1500,"87,500.00","Rs. 11,150,000.00",No
ikman.lk,Honda,Vezel,Z Play,2025,Automatic,Hybrid,SUV,1500,0.00,"Rs. 24,400,000.00",No
ikman.lk,DFSK ,Glory,,2021,Automatic,Petrol,SUV,1500,"49,000.00","Rs. 11,000,000.00",Yes
ikman.lk,Toyota ,Yaris,,2023,Automatic,Petrol,Hatchback,990,"6,128.00","Rs. 10,590,000.00",No
ikman.lk,BMW ,i7,,2024,Triptonic,Electric,Saloon,,0.00,"Rs. 135,000,000.00",No
ikman.lk,Toyota ,Hilux,GR Sport,2024,Automatic,Diesel,Double Cab,2700,80.00,"Rs. 31,900,000.00",Yes
ikman.lk,Toyota,Land Cruiser Prado,LC250 ,2024,Automatic,Petrol,SUV,2700,"6,000.00","Rs. 68,200,000.00",No
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
ikman.lk,,,,,,,,,,,
