Brand,Model,Edition,Year of Manufacture,Transmission,Fuel Type,Body Type,Engine Capacity (cc),Mileage (km),Price Rs.,Negotiable
Audi,A3,,2023,Automatic,Petrol,Saloon,"1,500 cc",0 km,"Rs 20,500,000",Yes
Audi,A3,SPORT BACK  S LINE,2023,Automatic,Petrol,Hatchback,"1,000 cc","11,000 km","Rs 18,500,000",Yes
Ford,Laser,GL,1988,Manual,Petrol,Saloon,"1,500 cc","250,000 km","Rs 1,000,000",Yes
Ford,Laser,GL,1988,Manual,Petrol,Saloon,"1,500 cc","250,000 km","Rs 1,000,000",Yes
Honda,Clarity,,2005,Manual,Petrol,Coupé/Sports,"1,000 cc","20,000 km","Rs 1,000,000",Yes
Mitsubishi,Lancer,Lancer Wagon 1200,1983,Manual,Petrol,Station wagon,"1,200 cc","67,340 km","Rs 1,000,000",No
Morris,Minor,,1957,Manual,Petrol,,"1,000 cc","100,000 km","Rs 1,000,000",Yes
Toyota,Corolla,KE20,1975,Manual,Petrol,Saloon,"1,200 cc","455,464 km","Rs 1,000,000",No
Toyota,Corolla,DX,1987,Manual,Petrol,Hatchback,"1,300 cc","160,000 km","Rs 1,020,000",No
Mitsubishi,Lancer,Lancer Box,1982,Manual,Petrol,Saloon,"1,400 cc","430,000 km","Rs 1,030,000",Yes
Austin,Cambridge,,1956,Manual,Petrol,Saloon,"1,500 cc","100,000 km","Rs 1,050,000",No
Daihatsu,Charade,030romd,1986,Manual,Diesel,Hatchback,"1,000 cc","85,000 km","Rs 1,050,000",Yes
Ford,Fiesta,,1993,Manual,Petrol,Hatchback,"1,300 cc","134,728 km","Rs 1,050,000",No
Nissan,Sunny,Sunny HB12,1987,Manual,Petrol,Saloon,"1,500 cc","320,000 km","Rs 1,050,000",Yes
Nissan,Sunny,B11,1982,Manual,Petrol,Coupé/Sports,"1,500 cc","165,000 km","Rs 1,050,000",Yes
Nissan,March,K10,1986,Manual,Petrol,Hatchback,996 cc,"115,000 km","Rs 1,050,000",Yes
Toyota,Corolla,DX Wagon,1987,Manual,Petrol,Station wagon,"1,400 cc","326,281 km","Rs 1,050,000",No
Mitsubishi,Lancer,Box,1985,Manual,Petrol,Saloon,"1,500 cc","257,114 km","Rs 1,070,000",No
Nissan,Sunny,B310,1980,Manual,Petrol,Saloon,"1,400 cc","147,000 km","Rs 1,075,000",Yes
Toyota,Corolla,toyota,1985,Manual,Petrol,Saloon,"1,500 cc","345,000 km","Rs 1,075,000",No
Toyota,Corolla,AE80,1984,Manual,Petrol,Saloon,"1,300 cc","185,000 km","Rs 1,075,000",Yes
Mitsubishi,Lancer,,1980,Manual,Petrol,Saloon,"1,410 cc","150,000 km","Rs 1,080,000",No
Nissan,Sunny,,1983,Manual,Petrol,Saloon,"1,300 cc","206,715 km","Rs 1,090,000",No
Daihatsu,Charade,,1987,Manual,Petrol,Hatchback,"1,000 cc","115,000 km","Rs 1,100,000",Yes
Tata,Nano,,2011,Manual,Petrol,,624 cc,"120,000 km","Rs 1,100,000",No
Toyota,Sprinter,Toyota,1986,Manual,Petrol,,"1,400 cc","150,000 km","Rs 1,100,000",Yes
Bajaj,Qute,,2019,Manual,Petrol,,216 cc,"180,000 km","Rs 1,125,000",No
Mitsubishi,Lancer,Lancer Station Wagon,1978,Manual,Petrol,Station wagon,"1,400 cc","78,000 km","Rs 1,125,000",No
Toyota,Carina,Carina AT-150,1985,Manual,Petrol,Saloon,"1,450 cc","197,256 km","Rs 1,140,000",Yes
Mitsubishi,Lancer,mistubishi lanzer,1987,Manual,Petrol,Coupé/Sports,"1,500 cc","48,000 km","Rs 1,150,000",No
Morris,Minor,,1959,Manual,Petrol,,"1,000 cc","50,000 km","Rs 1,150,000",No
Nissan,Sunny,B211,1976,Manual,Petrol,Saloon,"1,200 cc","411,600 km","Rs 1,150,000",Yes
Toyota,Corolla,,1985,Manual,Petrol,Station wagon,"1,200 cc","244,000 km","Rs 1,150,000",Yes
Honda,Civic,,1986,Manual,Petrol,Saloon,"1,500 cc","112,000 km","Rs 1,175,000",Yes
Mitsubishi,Lancer,,1980,Manual,Petrol,,"1,400 cc","100,000 km","Rs 1,175,000",Yes
Mitsubishi,Lancer,C2A,1986,Manual,Petrol,Coupé/Sports,"1,500 cc","80,500 km","Rs 1,190,000",No
Peugeot,305,GL,1987,Manual,Petrol,Saloon,"1,472 cc","137,000 km","Rs 1,190,000",Yes
Tata,GenX Nano,Nano,2011,Manual,Petrol,Hatchback,660 cc,"170,000 km","Rs 1,195,000",Yes
Ford,Laser,,1990,Manual,Petrol,Saloon,"1,300 cc","100,000 km","Rs 1,200,000",Yes
Hyundai,Excel,,1993,Manual,Petrol,Saloon,"1,300 cc","200,000 km","Rs 1,200,000",Yes
Isuzu,Gemini,,1988,Manual,Diesel,,"1,480 cc","300,000 km","Rs 1,200,000",No
Mazda,Familia,Mazda Hatchback 323,1986,Manual,Petrol,Hatchback,"1,300 cc","154,371 km","Rs 1,200,000",Yes
Nissan,Dutsun,,1983,Manual,Diesel,SUV / 4x4,"2,200 cc","120,000 km","Rs 1,200,000",Yes
Nissan,Dutsun,,1983,Manual,Diesel,SUV / 4x4,"2,200 cc","120,000 km","Rs 1,200,000",Yes
Mitsubishi,Lancer,Box,1980,Manual,Petrol,Saloon,"1,400 cc","150,000 km","Rs 1,210,000",Yes
Ford,Laser,Laser,1990,Manual,Petrol,Saloon,"1,300 cc","200,000 km","Rs 1,220,000",Yes
Bajaj,Qute,Bajaj,2019,Manual,Petrol,,216 cc,"54,000 km","Rs 1,225,000",No
