Brand,Model,Year of Manufacture,Transmission,Fuel Type,Engine Capacity (cc),Mileage (km),Price (Rs.)
Hero,Pleasure,2010,,,99,0,"Rs. 228,000"
Hero-Honda,Hunk,2009,,,160,0,"Rs. 185,000"
Suzuki,Maruti 800,2008,Manual,Petrol,800,0,"Rs. 1,990,000"
Suzuki,Maruti,2007,Manual,Petrol,800,0,"Rs. 2,250,000"
Nissan,March,1997,Manual,Petrol,990,0,"Rs. 2,645,000"
Toyota,Vitz,2007,Automatic,Petrol,990,0,"Rs. 5,495,000"
Honda,City RS Turbo,2025,Automatic,Petrol,1000,0,"Rs. 13,990,000"
Suzuki,Zen,2008,Manual,Petrol,1000,0,"Rs. 3,395,000"
Toyota,Duet,2000,Automatic,Petrol,1000,0,"Rs. 3,350,000"
Toyota,YARIS ATIV,2025,Automatic,Petrol,1200,0,"Rs. 16,950,000"
Toyota,Ke72 Corolla DX,1986,Manual,Petrol,1300,0,"Rs. 1,075,000"
Toyota,Ee90,1988,Manual,Petrol,1300,0,"Rs. 2,050,000"
Toyota,111 Sprinter,1996,Automatic,Petrol,1300,0,"Rs. 2,975,000"
Toyota,Ee102,1996,Manual,Petrol,1330,0,"Rs. 2,475,000"
Nissan,AD Wagon,2000,Automatic,Petrol,1490,0,"Rs. 3,395,000"
Mazda,Familia 323,2003,Manual,Petrol,1500,0,"Rs. 3,200,000"
Micro,Geely MX7,2012,Manual,Petrol,1500,0,"Rs. 3,175,000"
Nissan,Trad Sunny,1987,Manual,Petrol,1500,0,"Rs. 1,890,000"
Toyota,Corolla AE91,1991,Manual,Petrol,1500,0,"Rs. 2,410,000"
Toyota,Prius S LED,2013,Automatic,Petrol,1800,0,"Rs. 11,200,000"
Mitsubishi,Tipper,1987,Manual,Diesel,3700,0,"Rs. 4,575,000"
Nissan,N16,2000,Automatic,Petrol,15000,0,"Rs. 4,175,000"
Chery,QQ,2008,Manual,Petrol,800,1,"Rs. 1,575,000"
Suzuki,Maruti Zen,2008,Manual,Petrol,1000,1,"Rs. 3,395,000"
Toyota,Vitz,1999,Automatic,Petrol,1000,1,"Rs. 4,195,000"
Nissan,Sunny VE11,1986,Manual,Petrol,1270,1,"Rs. 1,500,000"
Toyota,K E 72 DX Wagon,1984,Manual,Petrol,1290,1,"Rs. 1,050,000"
Suzuki,Swift,2003,Automatic,Petrol,1300,1,"Rs. 3,850,000"
Tata,Vista,2011,Manual,Petrol,1300,1,"Rs. 2,790,000"
Toyota,Corolla AE100,1992,Manual,Petrol,1330,1,"Rs. 2,495,000"
Mitsubishi,Lancer Wagon,1979,Manual,Petrol,1400,1,"Rs. 345,000"
Nissan,AD Wagon,2000,Automatic,Petrol,1490,1,"Rs. 3,295,000"
Mitsubishi,C12 GLX,1986,Manual,Petrol,1500,1,"Rs. 675,000"
Nissan,Sunny FB14,1998,Manual,Petrol,1500,1,"Rs. 3,175,000"
Toyota,Prius,2009,Automatic,Hybrid,1790,1,"Rs. 8,995,000"
Toyota,Yaris Ativ Night Shade Pack,2025,Automatic,Petrol,1200,2,"Rs. 16,200,000"
Toyota,Corolla 121,2004,Manual,Petrol,1350,2,"Rs. 5,350,000"
Toyota,Corolla AE110,1997,Manual,Diesel,2000,2,"Rs. 3,550,000"
Toyota,Corona Premio CT210,1996,Automatic,Diesel,2000,2,"Rs. 3,875,000"
Daihatsu,Mira G Limited,2025,Automatic,Petrol,658,3,"Rs. 7,550,000"
Toyota,Corolla 110,1997,Automatic,Diesel,2000,3,"Rs. 3,795,000"
Suzuki,Wagon R Custom Z Upgrade,2025,Automatic,Hybrid,660,4,"Rs. 8,775,000"
Suzuki,Wagon R ZX,2023,Automatic,Hybrid,660,10,"Rs. 7,700,000"
Suzuki,Wagon R Custom Z Zx,2025,Automatic,Petrol,660,14,"Rs. 8,800,000"
Nissan,Sunny Ex Saloon,2002,Manual,Petrol,1300,14,"Rs. 4,000,000"
