Brand,Model,Year of Manufacture,Transmission,Fuel Type,Engine Capacity (cc),Mileage (km),Price Rs.
Honda,Civic Tech Pack Sedan,2019,Automatic,Petrol,1000,55000,14250000
BMW,320D,2013,Automatic,Diesel,1990,107000,19750000
Volkswagen,Transporter,1987,Manual,Diesel,3000,0,1600000
Toyota,Camry,2015,Automatic,Hybrid,2500,105000,19500000
Suzuki,Wagon R Stringray,2017,Automatic,Hybrid,660,126000,6925000
Toyota,Axio Hybrid G Grade,2016,Automatic,Hybrid,1500,129000,11675000
Toyota,Avanza,2011,Automatic,Petrol,1500,116000,7190000
Volkswagen,T-Cross R-Line,2020,Automatic,Petrol,1000,60500,14850000
Mitsubishi,Xpander,2019,Automatic,Petrol,1500,124000,14900000
Mitsubishi,Canter,1989,Manual,Diesel,2600,1850002,2250000
Zotye,Z100,2020,Manual,Petrol,1000,70000,3295000
Toyota,YARIS G GRADE,2022,Automatic,Petrol,1000,25000,11000000
Honda,Fit Shuttle GP7,2018,Automatic,Petrol,1500,118350,13250000
Toyota,AXIO,2015,Automatic,Hybrid,1500,154000,11500000
Mitsubishi,Lancer CK8A,1997,Automatic,Diesel,2000,200,3450000
Honda,Civic,2018,Automatic,Petrol,1000,51000,14000000
Nissan,B310,1978,Manual,Petrol,1400,86000,790000
Nissan,FB15,2001,Automatic,Petrol,1500,136000,4475000
Honda,Grace Ex,2015,Automatic,Hybrid,1500,110000,9600000
Toyota,Aqua S Limited,2015,Automatic,Hybrid,1500,92000,7775000
Suzuki,Maruti,2002,Manual,Petrol,800,65000,1495000
Toyota,Premio G Superior,2018,Automatic,Petrol,1500,95000,16250000
Toyota,Carina AT150 SG Extra,1986,Manual,Petrol,1500,200000,1750000
Toyota,Vitz Safety Edition 02,2018,Automatic,Petrol,1000,82000,8775000
Nissan,N16,2000,Automatic,Petrol,1500,250000,3675000
Micro,Panda,2011,Manual,Petrol,1300,129000,2435000
Toyota,CE110,1996,Automatic,Diesel,1970,280000,2750000
Suzuki,Wagon R Custom Z,2024,Automatic,Hybrid,650,2450,9600000
Toyota,Corolla 141,2011,Manual,Petrol,1598,131000,8200000
Toyota,Allion 260,2010,Automatic,Petrol,1500,104555,10825000
Mazda,3,2012,Automatic,Petrol,1500,0,1975000
Nissan,Trad Sunny,1988,Manual,Petrol,1500,116375,1135000
Suzuki,Cultus,1987,Manual,Petrol,1300,1000000,1250000
