No. of Estimators,RMSE,R2
1,13926643.258546408,0.1469182397198746
51,4054434.2504025986,0.9276966735195672
101,3893443.25686869,0.933324627016054
151,3798817.806791593,0.9365261728806762
201,3774476.130503418,0.9373370089324045
251,3760311.2403464415,0.9378064509587237
301,3745057.2426731098,0.9383100135381706
351,3737545.263962428,0.9385572455927743
401,3744741.3945491533,0.9383204186367237
451,3743818.7445639577,0.9383508088015449
501,3744223.83442943,0.9383374669090195
551,3747523.237631049,0.9382287452044469
601,3745104.4912991095,0.9383084569342011
651,3747633.7616619845,0.9382251015665992
701,3753759.0108246114,0.9380230029131906
751,3754178.0917503997,0.9380091635446458
801,3757126.0045362385,0.9379117705476866
851,3756111.4982836745,0.9379452963824462
901,3759236.590532135,0.9378419941524493
951,3763919.724084412,0.9376870288803579
1001,3772334.125047741,0.9374081109227611
