Brand,Model,Edition,Year of Manufacture,Transmission,Fuel Type,Body Type,Engine Capacity (cc),Mileage (km),Price (Rs.),Negotiable,Rs. Per km
Lexus,LX600,"LX600 SUV,5 DOORS",2024,Automatic,Petrol,SUV / 4x4,"3,500 cc","2,963 km","Rs 135,000,000",Yes,
Mercedes Benz,C200,,2019,Automatic,Petrol,Saloon,"1,500 cc","64,000 km","Rs 26,000,000",No,
Toyota,Hilux,Double Cab,2007,Automatic,Diesel,,"3,000 cc","193,000 km","Rs 11,850,000",Yes,
Land Rover,Range Rover,Autobiography,2018,Tiptronic,Hybrid,SUV / 4x4,"2,000 cc","58,000 km","Rs 72,500,000",Yes,
Toyota,Allion,G Grade,2012,Automatic,Petrol,,"1,500 cc","163,000 km","Rs 10,375,000",Yes,
Land Rover,Freelander,Land,1999,Manual,Diesel,SUV / 4x4,"2,200 cc","185,000 km","Rs 4,990,000",Yes,
Toyota,Axio,,2017,Automatic,Hybrid,Saloon,"1,500 cc","140,000 km","Rs 11,300,000",Yes,
Alfa Romeo,Giulietta,,2013,Automatic,Petrol,Hatchback,"1,367 cc","46,216 km","Rs 9,800,000",Yes,
Toyota,Land Cruiser Prado,250 VX,2024,Automatic,Petrol,SUV / 4x4,"2,700 cc","4,000 km","Rs 65,500,000",Yes,
Ssang Yong,Korando,2012,2012,Automatic,Diesel,SUV / 4x4,"2,000 cc","150,000 km","Rs 6,500,000",No,
Audi,A5,,2018,Automatic,Petrol,Coupé/Sports,"1,500 cc","60,000 km","Rs 25,000,000",Yes,
Mitsubishi,Outlander,,2013,Automatic,Hybrid,Hatchback,"1,990 cc","145,902 km","Rs 13,975,000",No,
Mazda,Demio,,2009,Automatic,Petrol,Hatchback,"1,500 cc","126,000 km","Rs 5,750,000",Yes,
Mercedes Benz,S400,,2014,Automatic,Petrol,Saloon,"3,500 cc","90,000 km","Rs 47,500,000",Yes,
Mercedes Benz,GLE 400,2016,2016,Automatic,Petrol,Coupé/Sports,"3,000 cc","48,000 km","Rs 44,500,000",Yes,
Other brand,Other model,Jonway A380,2012,Tiptronic,Petrol,SUV / 4x4,"1,800 cc","97,400 km","Rs 5,475,000",Yes,
Honda,Civic,RS TURBO,2025,Automatic,Petrol,Saloon,"1,000 cc",0 km,"Rs 14,950,000",No,
Toyota,Raize,Toyota,2023,Automatic,Petrol,,990 cc,"31,720 km","Rs 14,750,000",Yes,
Toyota,Starlet,EP82,1997,Manual,Petrol,Hatchback,"1,300 cc","166,315 km","Rs 3,000,000",No,
Land Rover,Range Rover,Autobiography,2019,Tiptronic,Petrol,Station wagon,"2,000 cc","34,000 km","Rs 80,000,000",Yes,
Toyota,Land Cruiser Prado,LC250 FIRST EDITION,2024,Automatic,Petrol,SUV / 4x4,"2,700 cc","6,000 km","Rs 67,900,000",No,
Toyota,Land Cruiser Sahara,LC 300 Facelift,2008,Tiptronic,Petrol,SUV / 4x4,"4,200 cc","124,000 km","Rs 43,000,000",Yes,
Honda,Fit,,2012,Automatic,Hybrid,Hatchback,"1,450 cc","131,476 km","Rs 8,375,000",No,
Toyota,Corolla,WXB,2023,Automatic,Petrol,Saloon,"1,500 cc","5,000 km","Rs 19,200,000",Yes,
Mitsubishi,Pajero,T-Intercooler Jeep,1994,Manual,Diesel,SUV / 4x4,"2,800 cc","225,000 km","Rs 10,800,000",Yes,
Land Rover,Defender,110 Straight Petrol,2024,Tiptronic,Petrol,SUV / 4x4,"2,000 cc","4,000 km","Rs 76,500,000",No,
Suzuki,Maruti,MS800,2007,Manual,Petrol,Hatchback,800 cc,"116,000 km","Rs 2,150,000",Yes,
Toyota,Land Cruiser Prado,150 TX,2015,Automatic,Petrol,SUV / 4x4,"2,700 cc","71,000 km","Rs 43,000,000",No,
Peugeot,2008,Face Lift,2017,Automatic,Petrol,Hatchback,"1,200 cc","119,000 km","Rs 9,250,000",Yes,
Kia,Optima,Dual Sunroof 1-14,2012,Automatic,Petrol,Saloon,"1,980 cc","162,000 km","Rs 10,500,000",Yes,
Honda,Other Model,ZRV Z GRADE,2024,Automatic,Petrol,Station wagon,"1,490 cc","3,000 km","Rs 21,990,000",Yes,
Honda,CRV,VTIL-7 AUSTRALIAN,2024,Automatic,Petrol,Station wagon,"1,490 cc",0 km,"Rs 31,990,000",Yes,
Peugeot,508,GT Line Executive,2011,Automatic,Petrol,Saloon,"1,600 cc","65,000 km","Rs 10,500,000",Yes,
Toyota,Raize,Z 1200cc Hybrid,2024,Automatic,Hybrid,SUV / 4x4,"1,200 cc",0 km,"Rs 17,450,000",Yes,
Toyota,Axio,X Grade,2011,Automatic,Petrol,Saloon,"1,500 cc","185,000 km","Rs 7,990,000",Yes,
Land Rover,Range Rover Evoque,2.0L,2017,Automatic,Petrol,SUV / 4x4,"2,000 cc","41,500 km","Rs 34,000,000",Yes,
Mercedes Benz,E300,Fully Loded,2014,Automatic,Hybrid,Saloon,"2,200 cc","99,478 km","Rs 19,250,000",Yes,
Honda,Freed,7 Seater,2013,Automatic,Petrol,MPV,"1,500 cc","106,000 km","Rs 10,500,000",Yes,
Honda,CRV,VTIL-7 AUSTRALIAN,2024,Automatic,Petrol,Station wagon,"1,490 cc",0 km,"Rs 32,390,000",Yes,
Honda,CRV,2018,2018,Automatic,Petrol,SUV / 4x4,"1,498 cc","81,700 km","Rs 19,500,000",Yes,
Mitsubishi,Montero,2013,2013,Automatic,Diesel,SUV / 4x4,"3,200 cc","120,000 km","Rs 24,500,000",No,
Honda,CRV,VTI L,2018,Automatic,Petrol,SUV / 4x4,"1,500 cc","96,742 km","Rs 21,000,000",Yes,
Toyota,Corolla,Sport bruno,2018,Tiptronic,Petrol,Hatchback,"1,200 cc","45,000 km","Rs 17,900,000",Yes,
Hyundai,Santa Fe,2016,2016,Tiptronic,Diesel,SUV / 4x4,"2,200 cc","81,000 km","Rs 19,900,000",Yes,
BMW,520d,M Sport,2015,Automatic,Diesel,Saloon,"2,000 cc","71,000 km","Rs 31,000,000",Yes,
Kia,Rio,Kia Rio 2005,2005,Automatic,Petrol,Saloon,"1,490 cc","168,000 km","Rs 3,190,000",Yes,
Toyota,Yaris,Cross Premium Lux,2025,Tiptronic,Hybrid,Station wagon,"1,500 cc",0 km,"Rs 20,990,000",Yes,
BMW,225XE,i Performance- F45,2017,Automatic,Hybrid,Station wagon,"1,499 cc","21,550 km","Rs 19,000,000",Yes,
BMW,740Le,M Sport -G12,2019,Automatic,Hybrid,Saloon,"1,998 cc","44,400 km","Rs 57,500,000",No,
Honda,CRV,VTIL-7 BRAND NEW,2024,Automatic,Petrol,Station wagon,"1,490 cc",0 km,"Rs 32,390,000",Yes,
Volvo,XC40,2019,2019,Automatic,Petrol,SUV / 4x4,"1,500 cc","50,000 km","Rs 24,500,000",Yes,
Volkswagen,Passat,PASSAT TSI 1.4L,2008,Automatic,Petrol,Saloon,"1,390 cc","73,000 km","Rs 8,690,000",Yes,
DFSK,Glory,i Auto,2021,Tiptronic,Petrol,SUV / 4x4,"1,500 cc","30,000 km","Rs 11,500,000",Yes,
Micro,Panda,Panda,2016,Manual,Petrol,Hatchback,"1,300 cc","38,000 km","Rs 3,250,000",Yes,
Toyota,Yaris,Cross Premium LUX,2025,Tiptronic,Hybrid,Station wagon,"1,500 cc",0 km,"Rs 20,990,000",Yes,
Ssang Yong,Rexton,2014,2014,Automatic,Diesel,SUV / 4x4,"1,999 cc","170,000 km","Rs 12,000,000",Yes,
Toyota,Axio,Toyota,2019,Automatic,Hybrid,Saloon,"1,500 cc","63,000 km","Rs 15,875,000",Yes,
Toyota,Roomy,GT 2023,2023,Automatic,Petrol,MPV,"1,000 cc","11,000 km","Rs 11,950,000",Yes,
Toyota,Prius,3rd Gen,2011,Automatic,Petrol,Saloon,"1,800 cc","111,425 km","Rs 11,100,000",Yes,
Honda,CRV,VTI-L7 AUSTRALIAN,2024,Automatic,Petrol,Station wagon,"1,490 cc",0 km,"Rs 31,990,000",Yes,
BMW,X1,S Drive 18i X-Line,2018,Tiptronic,Petrol,SUV / 4x4,"1,500 cc","73,000 km","Rs 21,800,000",Yes,
Peugeot,5008,GT Line,2018,Automatic,Petrol,SUV / 4x4,"1,200 cc","88,000 km","Rs 22,000,000",Yes,
Toyota,Land Cruiser Sahara,Cygnus,2003,Tiptronic,Petrol,SUV / 4x4,"4,700 cc","229,000 km","Rs 22,000,000",Yes,
Mercedes Benz,CLA 180,AMG PREMIUM PLUS,2017,Automatic,Petrol,Saloon,"1,600 cc","17,000 km","Rs 21,950,000",Yes,
Suzuki,Swift,Turbo Rs 2017 (Grey),2017,Automatic,Petrol,Hatchback,"1,000 cc","49,500 km","Rs 8,390,000",No,
Mercedes Benz,Other Model,G400D G WAGON,2023,Automatic,Diesel,SUV / 4x4,"2,920 cc",500 km,"Rs 169,000,000",Yes,
Suzuki,Swift,Swift Hybrid,2024,Automatic,Hybrid,Hatchback,"1,200 cc",500 km,"Rs 13,800,000",Yes,
Toyota,Land Cruiser Prado,TX-L Pack,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","16,500 km","Rs 57,500,000",Yes,
